Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
Sala Thong sounds good. Please make a booking for 2 at 11:45 on Monday|Booking was successful. The table will be reserved for 15 minutes. Reference number is : RARTE3OH. is there anything else i can help you with?
yeah i need a train too|Where will you be leaving from?
I'll need to arrive by 11:00 and it should be going to london liverpool street.|There are 21 trains available. Would you like to narrow it down by departure site, day, or departure time?
Let's pick something arriving between 11:00 and 10:30. It needs to depart from cambridge and leave on tuesday.|Train TR4259 arrives in London Liverpool Street at 9:27. It's the closest arrival time to 11:00. How many tickets would you like to book?
I would like 2 tickets please.|Your reservation for 2 on the TR4259 train was successful, the total fee is 33.2 GBP payable at the station. Your Reference number is : FNRSFZWB
Thank you so much. The restaurant and train are all I need for now. Have a great day. Goodbye.|Ok! Have a great day!
Hi! I am looking for a train that arrives by 11:30 on Friday.|I have 122 trains that are arriving by 11:30. Do you know where the train is coming from?
The train should depart from Bishops Stortford and should go to Cambridge.|TR2083 leaves Bishops Stortford at 09:29 on Friday and arrives in Cambridge at 10:07.  Would you like to purchase tickets?
Yes please.  I will need 5 seats.|Ok, your booking is complete! The total is 50.5 GBP and is payable at the station.  Your confirmation number is RGOWFL51
Great.  I am also looking for suggestions on places to go in the centre of town.  Can you help me with that?|I show 44 attractions in  the centre area.   Is there a specific type you would prefer?
Do you have any multiple sports?|There are no attractions matching that description. Would you like me to search for parks in the area?
Do you have any architecture attractions|Yes many. All Saints Church is a famous one with no entrance fee.
That sounds great, plus it's free. Can I book that for 5 please?|Attractions are one thing we can't book for you, unfortunately. Is there anything else you need today?
Can you please give me the phone number and post code for All Saints Church then?|All Saints Church phone is 01223452587. Their postcode is cb58bs. Is there anything else I can help you with today?
That should be all I need.  Thanks for your help.|You're welcome. Have a great time!
I am looking for a restaurant that serves Modern European food at a reasonable price.|Try riverside brasserie, it is located at 	Doubletree by Hilton Cambridge Granta Place Mill Lane
Is that in the centre of town? Is it moderately priced?|It is indeed in the Centre and moderately priced.  Would you like me to book a table for you?
I just need the adress and post code.|The postcode is cb21rt and the address is Doubletree by Hilton Cambridge Granta Place Mill Lane, will that be all?
I also need to take a train on wednesday, leaving after 10:15.|Okay, we have a LOT of trains leaving after that time.  What is your starting point and destination?
From Leicester to Cambridge, please.|OK, the TR9776 leaves at 11:09 and arrives at 12:54, the cost is 37.80 pounds, do you want me to book you?
Yes please book the train for 1 person and make sure you give me the reference number.|Ok, you are booked.  Your reference number is OYDBAUOS.  The total is 37.79 GBP payable at the station .  Is there anything else I can help you with?
I don't think so. That was everything. Thanks. Goodbye.|Thank you for using Cambridge TownInfo centre.  Please consider us for your future travel needs.
Are there any trains leaving from Stansted Airport on Thursday?|I have 19 trains available.  Could you narrow it down to a specific destination and departure time please.
i am leaving for cambridge and it should arrive there by 20.45|The train that arrives the closest to your preferred time is TR2286 which arrives at 19:52. Does that work for you?
I would like to make a booking for TR2286 for 1 person.|Ok, I've booked you 1 ticket on TR2286.  The fee of 10.10 GBP is payable at the station.  Your reference code is QHKC3MOF.  Anything else I can do?
Thank you I also need a place to stay that is a guesthouse with free parking.|I have several results matching your request.  What price range and area of town would you prefer?
I don't have a preference for area, I would just like it to have 4 stars and a moderate cost with free parking.|There are 9 options for a guesthouse with your requested price and amenities. The Aylesbray Lodge Guest House is lovely this time of year, if you're interested?
That works. What's the phone number, area, and if they have internet?|aylesbray lodge guest house is in the south of town, their phone number is 01223240089 and they have internet
Could you book it for me?|I'd be happy to. When would you like to begin your stay, and for how many nights would you like rooms reserved?
I just need it for one night for one person please.  Can you tell me which area it is in?|It is in the south area.
Thank you very much, I think that's all I needed.|You are welcome. Have a good day!
I need a place to stay in South of town.|Okay, do you have any price range you're looking for?
It doesn't matter on the pricing or about having free parking. I would like the hotel to be like a guesthouse.|Aylesbray lodge guest house fits your needs. Would you like me to book that for you?
That won't be necessary thanks.|Is there anything else I can help you with?
Yes actually, could you book that for me? I've changed my mind.|That's fine. I'm here to help. For how many people and how many nights will that be?
The stay is for 4 of us for 3 nights.|What day would you like that reservation?
Friday, please, and for 3 nights. Thank you!|Booking was successful. Your reference number is PYDLXTII. Can I help you with anything else?
I am also looking for a train on the same day as my hotel booking that goes to cambridge that arrives by 20:00 and departs from stevenage.|OK, any date or time preferences?
Friday, and after 20:00.|TTR7278 leaves at 17:54 and arrives at 18:43, cost is 12.80 pounds per person, would you like me to book you?
Yes please, that would be wonderful. I would like a booking for 4 people, and the reference number, please.|I was able to book you for 4 tickets on train TR7278.   The total fee is 51.2 GBP payable at the station.
Could I get the reference number?|The reference number is M8CQ8Y16.
Thanks, that's all I needed today. You've been a great help. Goodbye!|Thanks for using our service. Have a great day. Goodbye.
I am going out of town from Cambridge on tuesday and need to take a train, can you help me?|Absolutely. Where are you heading to?
I am going to ely|Ok, did you have a certain time you wanted to leave after or arrive in Ely?
I would like to leave after 19:15 please.|for how many ?
for 2 people, please|Booking was successful,  .Reference number is : G02V81W6. The train ID is TR5511, it leaves at 19:50
I'm also looking for a college in the west. Can you recommend one?|There are 5. 3 are free, and 2 cost 2.50 Pounds to visit. What do you prefer?
How about one of the free ones? Give me the address and phone number.|Churchill College is located on Storey's Way. The phone number is 01223336233. Is there anything else I can do for you today?
No, I think that is everything I can think of.  Thanks for your help!|Thank you enjoy the rest of your day.
Can you help me find information on saint john's college?|Saint John's College is in the Centre of town on Saint John's Street. The entrance fee is 2.50 Pounds. Can I help you with anything else?
Is there an exact address, like a street number? Thanks!|It is on Saint John's Street, though it doesn't have an exact street number. Is there anything else you would like to know?
Yes, I'm also looking for a train that leaves on Friday after 11:15.|Where will you be departing from, and what is your destination?
cambridge is my destination and from leicester|The TR3877 leaves at 12:09 on Friday. Would you like me to book it for you?
Yes, can you book it for 1 person, please?|It has been booked. Your total fee is 37.79 GBP, which is payable at the station. Your reference number is 2X743C2D.
Great.  Thanks for all your help!|You're welcome. Have a good day!
I'm on a tight budget so I need to find a cheap restaurant that serves chinese food|Sure, do you prefer the south part of town or do you want to stay in the centre?
It doesn't matter.|The Rice House is a great cheap Chinese restaurant located in the centre of town.  Would you like me to book you a table there?
Yes. Can you reserve one for 4 people at 16:45 on Sunday?|I'm sorry my reservation system is not working today. Here is their phone number and address. 01223367755 at 88 Mill Road City Centre. Postcode is cb12bd. Enjoy your meal!
Hello, can you help me find a restaurant for my upcoming trip to Cambridge?|Absolutely! What type of food are you looking for?
I do not care. Just something in the south, moderate range in price.|There are two options that match what you're looking for.  Pizza Hut Cherry Hinton and Restaurant Alimentum, which is modern European cuisine.  Does either sound good?
i want to reserve a table at  Restaurant Alimentum|what day and how many people?
I would need it for 3 people for 17:30 on monday.|I have booked that for you and your reference number is 7HRLWXYB.  Is there anything else I can help with?
Thanks!  I need to travel to Kings Lynn from Cambridge for 3 people.  I need to travel Tuesday night, sometime after 20:00.  I need a reference number please.|I would suggest train TR8387 that leaves at 21:11 with arrival at 21:58.  Would you like me to book this one or do you need a different arrival time?
This is perfect. Please book for 3 people and give me the reference number.|Okay, I've booked 3 tickets for you on TR8387. It will cost 29.4 GBP. Your reference number is VF2TRXD0. Can I do anything else for you today?
No, that sounds about right. Thanks.|Enjoy your visit.
I am looking for a train going from cambridge to london liverpool street|I have many trains available between Cambridge and Liverpool Street. What day are you looking to travel?
I would like to travel on Tuesday and I would like to arrive by 20:15 please.|I have train TR7299 that leaves at 5:59 and arrives at 7:27.  Would you like to book that?
Do you have a train that arrives closer to 20:15.|Yes,  TR9561 arrives at 19:27.  Would you like to book that train?
Yes, I need 7 tickets.|Will you needing a reference number?
Yes please.  I'm also looking for a hotel in the west.  I need free parking and wifi available.  Thanks so much.|Your train was booked successfully for 7 people. Your reference number is MQRGDBZA. There are many hotels located in the west. Are you looking for something in a certain price range?
A 3 star hotel in the cheap price range|Im sorry I have nothing matching that criteria can we adjust the amenities?
I need to book a train for Friday please.|Great. Where are you headed?
I am going to Cambridge. I would like to arrive in the afternoon, please.|Where are you departing from?
There are two of us departing from kings lynn and we need to arrive by 16:45. Can you book it for 2 people and send me the reference number?|I booked TR5331 for you. Your reference is GPFBA8K5.
Can I also get information on king's college.|Of course. King's College has a free entrance fee and is in the centre of town
What is the address?|adress is Kings Parade
I am looking for a train from Stevenage for a trip to Cambridge.|There are several trains to your specifications. What day and time would you like to leave?
I need to leave on Wednesday after 10:45|The earliest train that meets your needs is TR6473, leaving at 11:54 and arriving in cambridge at 12:43. Would you like to book passage on that train?
Yes I would. There are 3 of us traveling. Could we get a private area on the train?|Certainly, do you have a price range in mind?
For the train, no. And I made a mistake. I only need a booking for 1 person.|Not a problem at all. Booking for one person was successful, the total fee is 12.8 GBP payable at the station . Reference number is : 8WYSLEG0. Anything else today?
I also need a place to dine. I'm looking for something cheap in the south.|I have found 2 options for you: The Lucky Star, which serves Chinese food, and Nandos, which serves Portuguese food. Shall I make a reservation for one of them?
Please book Nandos.|Sure. What say and time are you thinking? And for how many people?
Actually, I'll take care of the reservation. Can I just get the phone number and address for Nandos, please?|Yes, the phone number is 01223327908, and the address is Cambridge Leisure Park Clifton Way. Can I help with anything else?
No, that was all the information I needed. Thanks so much. Have a good day.|You too, goodbye.
Hello, I am looking for a guesthouse that includes free parking.|There are over 20 results. Is there a certain area you'd like to stay?
Cheap price and North part of town|One of your options is Worth House, it has a 4-star rating, would you like me to book it for you?
Let's make a booking for 6 people, 5 nights starting wednesday|Okay, your booking was successful. Your reference number is 0HRI1K18. Is there anything else I can help you with?
I also need a train|Ok, first I'll need to know where you are departing/arriving and what day?
My plan is to depart from Cambridge this Saturday.|Where will you be arriving at?
I'm going to london liverpool street. I want my train to leave after 14:45.|I have one leaving at 15:59. Will that work?
Yes,  that's perfect.  Can you please book it for the same party and provide me with a reference number.|You are all set, the cost is 66.39 GBP payable at the station .The Reference number is : P11XWALE
Great, thanks for your help!|Happy to be of service, and enjoy your time in Cambridge!
I'm looking for someplace to get British cuisine in the center of town.|Great, I have five options for you in the moderate to expensive range.
Oh, I really need something cheap.|I do not have anything in that price range for British. Another criteria perhaps?
Could you try an Italian place please?|I have 3 in that price range and area. May I recommend zizzi cambridge?
Yes, that would be great! Could you please book a table for 5 people at 16:45 on saturday?|Your table is reserved and your reference number is MGCSVPOM. Can I help you with anything else?
Thank you. I also need a train from stansted airport to Cambridge that will arrive by 11:30.|There are six, which day would you like to travel?
Saturday. I would like to arrive by 11:30.|I have one leaving at 10:24 and arriving at 10:52. The rate is 8.08 pounds each. Would like me to make reservations for 6?
Yes please make a reservation for 5 people and give the phone number|I booked 5 tickets. There is no phone number, but the reference number is RGMOSM2H.
That is all I need, thank you for your help.|Happy to help. Have a great day.
I am looking for a train that will take me to Cambridge from Birmingham New Street.|there are so many. what time do you want to leave?
I need to leave after 17:00 on Thursday.|TR1765 leaves at 17:01. Would you like for me to book it?
Yes can you please and send me a reference number.|Sure, how many seats do you need?
I need seats for five people.|Yes yur booking is successful and your reference number is RI4VVZYC.
Thanks, I also need a place to dine that is moderately priced.|There are 31 moderately priced restaurants in town. Do you have a preferred location?
I would prefer it in the centre area.|Do you have a preference in food type?
Yes modern european food.|We have two choices, de luca cucina abd bar and roverside brasserie, any preferences?
No preference. Just book a table for 5 on Thursday at 20:15|I will go ahead and book that now.
Thanks! I need the reference number please.|Booking was successful. The table will be reserved for 15 minutes.Reference number is : 6KNJSQXY.
Perfect, that's all I need today. Have a great day.|Thank you for using our services. Have we met all of your needs today?
Have a nice day.|Enjoy your dinner.
I need a train going to cambridge.|Absolutely! What day and time would you like to leave?
On Thursday any time after 21:00.|Where will you be departing from?
I will departing from birmingham new street.|I would recommend TR7324 which leaves Birmingham New Street at 21:40 and arrives at Cambridge at 24:23.
Yes can you book that for 1 person?|Your booking for one ticket is complete. Your reference number is VEG5Q87Q and 75.09GBP will be due at the station.
I am also looking for a attraction called old schools.|Yes, Old Schools is located in the centre area, and has no entrance fee. Anything else I can assist you with?
Yes.  What is the phone number?|Their phone number is 01223332320. Do you need anything else?
Yes, what is their entrance fee and attraction type?  Thanks!|It is free to enter and type is architecture. May I help you with anything else?
No, you have been very helpful today, thank you.  I am all set.  Goodbye.|Thank you for using our service!
Can you help me find a concert hall?|There is one concert hall in town, The Man on the Moon, located at 2 norfolk street in the centre of town. Do you need more information?
I need a concerthall on the west area of town.|I am sorry I have only one listing for the city center. Would you consider other attractions?
Yes, I would consider a museum.|great, there are 7 museums in the west.
Can you make a recommendation and please provide the entrance fee, phone number, and postcode.|Cafe Jello Gallery Phone is o12233289438 and is on 13 Madalene treet
I am looking for a train departing from Leicester and going to Cambridge on Saturday.|There are many trains available for you. Do you have a departure or arrival time in mind? The trip will take 105 minutes.
The train should depart from leicester and should leave on saturday. The train should go to cambridge and should arrive by 10:15|Okay, the TR2969 leaves at 08:09 and arrives at 09:54. Would you like me to book tickets?
Yes, please for four people.  May I also get the reference number?|Okay, your booking was successful! Your reference number is 5FHHNO0K. The total fee is 120.06 and you can pay that at the station.
I am also in the market for a new restaurant. Is there something in the centre of town?|There are 69 restaurants in the centre. Can I narrow it down by price for you?
I'm independently wealthy and price doesn't matter, I am interested more in eritrean food, do you have any with that?|I'm sorry, there aren't any available. Would you like to try something else?
How about a place that serves British food?|There will serves nice British food. Its taste is good
Could you book it for me, for Saturday?|I'm sorry, but there are no restaurants serving British food in the centre of town.
Can you recommend an eritean or british restaurant in the centre area?|I recommend the oak bistro. It is a british restaurant in the centre.
That sounds like it will do. Can you reserve a table for the same group of people at 15:15 on the same day, please?|The table will be reserved for 15 minutes. Reference number is : QSNSUAGG. Is there anything else I can assist you with?
Just double checking. The restaurant reservation is for Saturday at 15:15, correct?|That is correct for 4 people at the oak bistro.
Yes please if it's available.|The booking was successful.  The table well be held for 15 minutes.  Your reference number is QSNSUAGG.  Can I help with anything else today?
I think that is all I need for today. Thank you for all your help!|I'm glad we could help! Please contact us anytime. Good bye.
I have to get to cambridge from london kings cross for a family matter, can you help me book a train?|Yes, I can help. What day do you need to leave?
I would like to leave on Sunday.|Is there a certain time you want to leave after or arrive by?
I would like to leave after 17;15 on sunday.|TR1681 leaves at 19:17 and arrives 51 minutes later. How is that?
Perfect. I'll need 2 tickets.|I will book that for you now.
Great, can you give me the reference number. Also can you give me some information on emmanuel college please?|Your reference number is : TD9C5XQU.  What else can I do for you today?
Can you give me the phone number, entrance fee, and address of emmanuel college, please?|The phone number is 01223334200.  I can also tell you that there is no entrance fee and its located in centre on saint andrew's street.
I need some help locating a train for Saturday, heading to London King's Cross.|Where will you be departing from, and what time would you like to travel?
I'll be departing from Cambridge and would like to leave at 12:15.|There isn't a train that leaves at 12:15. The closest one leaves at 13:00 and arrives in London Kings Cross at 13:51. Shall I book it for you?
That would be perfect. Book it for 5 people please and send me the reference number.|Okay, the booking was successful, the total fee is 94.4 GBP payable at the station . Your reference number is : AJTE5TLW.  Is there anything else I can do for you?
I also need a cheap hotel.|What area would you like to stay in?
I would like to stay in the north please.|There are two guesthouses fulfilling your requirements. Do you prefer city centre north b and b with zero stars or worth house with 4 stars?
Um, I would prefer a hotel rather than a guesthouse. How about the moderate price range?|We have two hotels that meet your criteria. I'd recommend the Ashley Hotel. Would you like to make a booking?
Yes I would, for 5 people please for 2 nights starting on Thursday.|Booking was successful. Reference number is : RF3EBI6I. Anything else I can help with?
That is all. Thanks so much!|thank you for using this service good bye
Hi, I'm looking for a place to stay while I'm in town.  Can you assist me?|what kind of place are you looking for? area?
I would like a hotel in the north that has free parking. It doesn't need to have internet.|Okay, I recommend the Acorn Guest House. Would you like to book a room?
Yes, please book the room and can I have the reference number|Booking for 1 night for 1 person from monday was successful. Your reference number is D3MYG9R0. Can I assist with anything else, restaurant, attractions?
I also need a Wednesday train to Cambridge.|I have found several trains to Cambridge. Where will you be departing from?
Actually I am departing from Cambridge and going to Leicester.|Is there a certain time you are wanting to leave?
I need it to arrive by 21:00.|15 trains match your needs. Do you want to complete a booking?
Yes. Please choose the first available train and book it for 6 people. Then give me the reference number|I was able to book train TR0677 and you reference number is 6VAA5F0P.
Thank you.  That is all I need for now.|Have a wonderful trip.
Yes I'm looking for a train to cambridge that leaves on monday, would you please help me with that?|I can help you with that! We have many options available on Monday, where are you travelling from?
I am travelling from Peterborough. I would also like to arrive by 15:00.|TR9063 arrives in Cambridge on Monday at 14:38, would you like to make a reservation?
Book it for 6 people.|I went ahead and booked that train. Your reference number is TQDMTW4Z. Is there anything else I can help you with?
I need a place to stay too.|Do you have an area, price range, or star rating in mind?
A FOUR STAR RATING,WITH A PRICE RANGE IN THE NEIGHBORHHOOD OF 1000 POUNDS. PLEASE I WOULD LIKE TO BE IN THE LONDON,ENGLAND AREA IF I MAY TO BE NEAR THE CLUBS.|Just for clarification would you like to be in the city centre?
Just as long as it is located in the south.|With a 4-star rating and located in the south, I have 2 options. Both are guesthouses. One is Aylesbray Lodge Guest House and the other is Rosa's Bed & Breakfast.
Either one works, I need to book for 6 people for 5 nights starting on monday.  I'll also need a reference number.|I was able to book you at Aylesbray Lodge Guest House for 5 nights starting Monday for 6 people.  Your reference number is ZJMOAB2L.
Thank you so much! Goodbye|Thank you for contacting us.  Have a good day. Good bye.
Hello, I am looking for a train from Peterborough to Cambridge please.|I am able to book you a train that's on that route but I need to know what day and time you need the train.
I need to travel on saturday and leave after 11:45|There are 25 trains that fit your needs. The earliest train leaves at 11:48 and arrives in Cambridge at 12:38. Would you like me to book you on this train?
Yes, please. I need 2 tickets please and the reference number.|Okay, great. Your booking was successful. Your reference number is 28VT1KZ3. You'll owe 26.4 which can be paid at the station.
Thanks.  I'm also looking for places to go in town.  Preferably a museum in the west.|sure, there are seven for you to choose from.
That's a lot of options.  Do any of the museums offer free admission?|All are free admission,except for Cambridge Folk Museum
What is the phone number and address for that place?|You can call them at 01223355159, and they are located at 2-3 castle street. Can I help with anything more today?
Thanks for all your help.  That will be all for today.|Great, thanks for using Cambridge TownInfo centre. Enjoy your trip, good day.
I need a train to Birmingham New Street that arrives by 8:00.|Where are you departing from?
I am leaving from cambridge on tuesday|Okay, I've got a training leaving at 5:01 and arriving by 07:44, will that be good?
Perfect. I'd like 8 tickets please.|Okay I have booked you 8 tickets on this train. Your reference number is E4459YTN. Is there anything else?
Okay. Thank you for your help. That is all I believe.|Sure.  Glad to have helped.
I need to take a train into Cambridge on Wednesday.|I found 202 trains that day, do you have a departure location you would like to start at?
I am leaving Birmingham New Street and would like to arrive by 17:15, can you book that for me?|No problem. How many seats would you like to book?
Make it for three people, and tell me the reference number.|I have booked your train tickets for 3 passengers. It is leaving Birmingham New Street at 10:40 and arrives in Cambridge at 13:23. Your reference number is OICBJMQ6. The total price is 225.3 GBP and will be payable at the station. Is there anything else I can assist you with?
Yes, can I get booking at the Alpha-Milton Guest House?|Of course, I will need to know when you are staying, how long, and how many will be in your party.
We'll need it for the same day, Wednesday, for the same 3 people. We'd like to stay for 5 nights.|I am very sorry I was unable to book for 5 nights at the alpha-milton guest house.  Would you like to try a shorter stay?
Ok, well how about 3 nights instead?|They did in have fact have rooms for 3 days. Your reference number is 54927PC2.
Great thank you. What is the address for the Alpha-Milton?|63 Milton Road.  Can I help you with anything else?
No, I believe that will be everything today.|Thank you for contacting Cambridge Towninfo Centre. Have a great day.
i need a train  from stansted airport  to cambridge|What day and approximately what time will you be traveling to Cambridge?
I need to get there by 20:30 on Wednesday.|You could grab the TR3828 leaving stansted airport it will get you there by 09:52.
Can you get me there a little bit earlier?|How about 05:24 that is the earliest, how many tickets please?
There will be 8 of us.|Okay, I have you booked for train TR5910. The total fee is 80.8 GDP.  Is there anything more I can do for you?
I also need a guesthouse for 8 and needs to be a 4 star|There are 5 different options that fit that criteria, 2 in the east, 2 in the north, and one in the city centre. Would you like to hear more about these?
