Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
I am looking for a restaurant that sell seafood,will prefer one in the center of the city.|I'm sorry, there seems to be an error. Can you please restate your request?
I would like a train into Cambridge from Stevenage.|Is there a specific day and time you would like to travel at?
Yes, I'd like to travel on Wednesday. I'll need to arrive by 8:00.|The TR9448 arrives at 06:43. Would you like me to book a ticket for you?
Yes, please book 7 seats.|All set. You are booked for 7 people on TR9448. You reference number is B1Q6DDTE. Can I help with anything else?
Yes, I need a hotel as well.|ok for how many people and when are you planning your stay?
Whoa whoa, easy there tiger, Lets narrow the search down first.  In the center, 0 stars, cheap and it can be a hotel or guesthouse.|How about el shaddai? Fits your request perfectly.
Is El Shaddai a guest house or hotel?|El Shaddai is a guesthouse. Anything other questions about them?
Do they have parking?|Yes, they have free parking. Would you like me to book you a room?
No, I don't need to. I was just curious about it. Thank you for all of your help.|Okay, is there anything else I can help you with?
Yes I need a chinese restaurant.|ok what location?
It should be in the same area?|i only have one option can i book it for you?
No, I don't need a chinese restaurant after all. Thanks for looking.|OK. Is there anything else I can help you with today?
No. That's everything I needed and then some, actually! Thanks, take care!|Thank you for calling.  Have a great day!
Can you tell me the address to the police station in Cambridge?|The address is Parkside, Cambridge, postcode CB11JG
Thanks. Would you be able to help me find a place to stay in the east side of town?|What price range do you prefer?
That doesn't matter. I would like a 4 star hotel though, please.|Would a and b guest house work for you?
Does that place have free wifi?|Yes it has wifi. Would you like to know anything more?
That is sufficient, please book me for 8 people, 5 nights staring on friday.|You've been booked at A and B Guesthouse. Your reference number is I23Q30PH. Can I be of further assistance today?
Also looking for a train leaving Norwich after 14:00 and arriving in Cambridge on Friday.|The TR4828 leaves Norwich at 14:16 and arrives in Cambridge at 15:35 on Friday. The price is 17.60 pounds. Would you like me to book it for you?
Can you please give me the travel time.|The travel time is 79 minutes. Would you like me to book it?
no I don't need you to do that, thank you|Okay, will that be all today or is there anything else I can help you with?
That is all. Thank you!|You're welcome. Have a great day!
I need to go from Cambridge to Peterbourgh Saturday.|Tr7310 is leaving from cambridge at 05:06 and arriving at peterborough at 05:56 for 13.20
I'm sorry. The train needs to going to Cambridge from Peterborough.|Sorry about that,what time would you like to depart?
I would like to leave after 18:15.  Also, I would like to know the fare.|TR4005 departs Peterborough at 18:19 and arrives in Cambridge at 19:09. Total travel time is 50 minutes, and the fare is 13.20 GBP per person.
Great, thank you. Now, I need some information on college I can visit in the centre of town.|I have located several colleges in the area that have entrance fees ranging from free to 2 pounds. Is there a particular one you would like to visit?
I don't have one in particular. Can you give me a few examples?|Sure I have Corpus Christi in the city centre and Christ's College, which is very famous in the centre.
Can I get the address of Corpus Christi?|The address is king's parade, is there anything else I can do?
No thank you. Thank you for your help.|You're welcome.  I hope you enjoy your visit!  Goodbye.
I need to find a train that leaves on Saturday and arrives by 08:45|Can you tell me what your departure city and destination are?
I'll be leaving Cambridge to get to Ely.|TR5344 arrives by 7:50. Does that work for you?
Yes, can you book that for 7?|Booking was successful, the total fee is 24.64 GBP payable at the station, you reference number is NUECBTHH. Will that be all?
Are there anything fun to do in city centre?|My favorite attraction in the centre of the city is a concert hall called Man on the Moon. It is amazing! They are at 2 Norfolk Street.
what is their postcode?|cb12lf. Is there anything else you need?
That's it.  Thank you.|You're very welcome! Have a great day!
I'm looking for a train schedule after 15:15, going to Cambridge.|There are several trains available for you. Where are you departing from and what day would you prefer?
i'm leaving from broxbourne to leave on saturday after 15:15|Is there a time you would prefer to arrive?
No, but I would like the booking made for two people.|Booking was successful, the total fee is 35.79 GBP payable at the station .
Reference number is : N5FLMFK9. Anything else you need?
Yes, are there any italian restaurants in the center of town?|Yes I have pizza hut city centre located at regent street city centre.  Would you like to make a table reservation?
Yes please. Can you book it for Saturday at 19:45 for 2 and get me a reference number?|I'm sorry, they didn't have that time available. Would you like to try a different time or a different day?
Yes, can you try for 18:45 instead?|Sure thing! Your reference number is D1CJSO6Z.
Thank you for your help!|Did you need any further assistance today?
That is all, thanks again.|I'm glad we could help. Have a nice day.
Can you help me find some Thai food to eat tonight?|What area of town would you prefer?
I don't care where, just as long as it's expensive!|Understood. You have a choice between Sala Thong and Bangkok City.
Sala Thong sounds good. Please make a booking for 2 at 11:45 on Monday|Booking was successful. The table will be reserved for 15 minutes.
Reference number is : RARTE3OH. is there anything else i can help you with?
yeah i need a train too|Where will you be leaving from?
I'll need to arrive by 11:00 and it should be going to london liverpool street.|There are 21 trains available. Would you like to narrow it down by departure site, day, or departure time?
Let's pick something arriving between 11:00 and 10:30. It needs to depart from cambridge and leave on tuesday.|Train TR4259 arrives in London Liverpool Street at 9:27. It's the closest arrival time to 11:00. How many tickets would you like to book?
I would like 2 tickets please.|Your reservation for 2 on the TR4259 train was successful, the total fee is 33.2 GBP payable at the station. Your Reference number is : FNRSFZWB
Thank you so much. The restaurant and train are all I need for now. Have a great day. Goodbye.|Ok! Have a great day!
I am looking for a train departing from london liverpool please.|I'll be glad to help. You would like to from london liverpool street to what destination, please?
Cambridge. I'd like to leave after 10:00 on Friday.|I have seven trains, could you tell me when you would like to arrive by ?
Just any time after 10:00, can I get the train ID of one of them please?|TR7943 leaves at 11:39
Thank you very much! That is all I need for today.|Have a great day!
Hi! I am looking for a train that arrives by 11:30 on Friday.|I have 122 trains that are arriving by 11:30. Do you know where the train is coming from?
The train should depart from Bishops Stortford and should go to Cambridge.|TR2083 leaves Bishops Stortford at 09:29 on Friday and arrives in Cambridge at 10:07.  Would you like to purchase tickets?
Yes please.  I will need 5 seats.|Ok, your booking is complete! The total is 50.5 GBP and is payable at the station.  Your confirmation number is RGOWFL51
Great.  I am also looking for suggestions on places to go in the centre of town.  Can you help me with that?|I show 44 attractions in  the centre area.   Is there a specific type you would prefer?
Do you have any multiple sports?|There are no attractions matching that description. Would you like me to search for parks in the area?
Do you have any architecture attractions|Yes many. All Saints Church is a famous one with no entrance fee.
That sounds great, plus it's free. Can I book that for 5 please?|Attractions are one thing we can't book for you, unfortunately. Is there anything else you need today?
Can you please give me the phone number and post code for All Saints Church then?|All Saints Church phone is 01223452587. Their postcode is cb58bs. Is there anything else I can help you with today?
That should be all I need.  Thanks for your help.|You're welcome. Have a great time!
I am looking for a restaurant that serves Modern European food at a reasonable price.|Try riverside brasserie, it is located at 	Doubletree by Hilton Cambridge Granta Place Mill Lane
Is that in the centre of town? Is it moderately priced?|It is indeed in the Centre and moderately priced.  Would you like me to book a table for you?
I just need the adress and post code.|The postcode is cb21rt and the address is Doubletree by Hilton Cambridge Granta Place Mill Lane, will that be all?
I also need to take a train on wednesday, leaving after 10:15.|Okay, we have a LOT of trains leaving after that time.  What is your starting point and destination?
From Leicester to Cambridge, please.|OK, the TR9776 leaves at 11:09 and arrives at 12:54, the cost is 37.80 pounds, do you want me to book you?
Yes please book the train for 1 person and make sure you give me the reference number.|Ok, you are booked.  Your reference number is OYDBAUOS.  The total is 37.79 GBP payable at the station .  Is there anything else I can help you with?
I don't think so. That was everything. Thanks. Goodbye.|Thank you for using Cambridge TownInfo centre.  Please consider us for your future travel needs.
I'm looking for a gastropub in the east.|The Royal Standard is a gastropub located in the east.
Could you please provide the phone number, address and postcode for The Royal Standard?|Phone Number: 01223247877. Post Code: cb13nl, address 290 Mill Road City Centre. Anything else?
Great can I also get a train going to leicester and arriving by 11:45?|Where will you be departing from and what day would you like to travel?
Cambridge, and I will be traveling on Saturday.|TR5677 will arrive at 11:06 would that work for you?
Could you get me the price of that train and the travel time before you book it?|I have TR5677 arriving at Leicester by 11:06.
Can you give me the travel time and total cost please?|105 minutes. 30.24 pounds.
ok thank you so mucy|Ok great. Would you like for me to go ahead and book the train for you?
Yes, please book the train for me. That will be all.|Do you just need the one ticket, or will others be travelling with you?
No just the one. Thank you.|Your booking was successful, the total fee is 30.24 GBP payable at the station .
Reference number is : LV1BEG9R.
Thank you so much! That's all I need.|I am glad I was able to help. Have a wonderful trip.
am looking for a train,it should go to cambridge and should depart from norwich|What time and day are you looking to travel?
Yes, I would like travel on Monday and I would need to arrive by 08:30.|TrainID TR9020 leaves norwich on monday and arrives in cambridge at 06:35.
What is the price for the train?|The cost will be 17.60 pounds. Would you like more information about that?
What time does the train leave?|it leaves at 05:16
Thanks, that's all. Good bye.|Goodbye and thanks for using the help desk.
Hi, I am planning a trip and need some help with a particular attraction.|Ok.  What type of attraction are you interested in?
I believe the name is Clare Hall, do you have the address and phone number?|Clare hall is located on herschel road and their phone number is 01223332360
That's it, thank you. I'm also looking for info on trains that leave Bishops Stortford on Thursday.|I have ten trains that match that description. Where will you be travelling to?
I'll be traveling to Cambridge and would prefer to leave after 08:45|Train TR0798 leaves Bishop Stortford at 9:29 and arrives in Cambridge at 10:07. Would you like me to make a reservation?
No, I can do that after I discuss it with my boss.  Thanks for your help with everything today.  Goodbye.|Glad I could help!
Are there any trains leaving from Stansted Airport on Thursday?|I have 19 trains available.  Could you narrow it down to a specific destination and departure time please.
i am leaving for cambridge and it should arrive there by 20.45|The train that arrives the closest to your preferred time is TR2286 which arrives at 19:52. Does that work for you?
I would like to make a booking for TR2286 for 1 person.|Ok, I've booked you 1 ticket on TR2286.  The fee of 10.10 GBP is payable at the station.  Your reference code is QHKC3MOF.  Anything else I can do?
Thank you I also need a place to stay that is a guesthouse with free parking.|I have several results matching your request.  What price range and area of town would you prefer?
I don't have a preference for area, I would just like it to have 4 stars and a moderate cost with free parking.|There are 9 options for a guesthouse with your requested price and amenities. The Aylesbray Lodge Guest House is lovely this time of year, if you're interested?
That works. What's the phone number, area, and if they have internet?|aylesbray lodge guest house is in the south of town, their phone number is 01223240089 and they have internet
Could you book it for me?|I'd be happy to. When would you like to begin your stay, and for how many nights would you like rooms reserved?
I just need it for one night for one person please.  Can you tell me which area it is in?|It is in the south area.
Thank you very much, I think that's all I needed.|You are welcome. Have a good day!
Will you help me find a portuguese restaurant in the east please?|I'm sorry, I couldn't find any Portuguese restaurants in the east. Shall we look in a different part of the city instead?
Are there any that are in the expensive price range?|I'm sorry. There are no expensive Portuguese restaurants in the city.  There is, however, a cheap Portuguese restaurant in the south and another in the centre.  Do either of those interest you?
How about a restaurant that serves British food then?|Graffiti is an expensive British restaurant on the west side. It's a fantastic place. Would you like to book a table there?
Yeah. That sounds good. Can you book it for 4 people at 19:30 on wednesday?|Booked! Your table will be reserved for 15 minutes. Reference number: NMC7VCAK.
Great!  I am also looking for information about a train. Can you help me with that?|Yes I can what time will you be departing and from what location?
I would like to go from Cambridge to Ely on Thursday.|Ok, the first train leaves at 05:50 and every two hours after from there, the irde takes 17 minutes and the cost is 4.40 pounds.
That's all I need.|Would you like me to reserve your train tickets?
Yes please. I'll need a departure time, travel time, and price. Thank you.|The TR1923 departs form Cambridge at 09:50 and arrives in Ely at 10:07. The travel time is 17 minutes, and the cost is 4.40 pounds. How does that sound?
That sounds perfect, thank you.|Great! Can I assist you with anything else today?
No, that is all I need today, thank you.|Let me know if you need more help, bye.
I need a place to stay in South of town.|Okay, do you have any price range you're looking for?
It doesn't matter on the pricing or about having free parking. I would like the hotel to be like a guesthouse.|Aylesbray lodge guest house fits your needs. Would you like me to book that for you?
That won't be necessary thanks.|Is there anything else I can help you with?
Yes actually, could you book that for me? I've changed my mind.|That's fine. I'm here to help. For how many people and how many nights will that be?
The stay is for 4 of us for 3 nights.|What day would you like that reservation?
Friday, please, and for 3 nights. Thank you!|Booking was successful. Your reference number is PYDLXTII. Can I help you with anything else?
I am also looking for a train on the same day as my hotel booking that goes to cambridge that arrives by 20:00 and departs from stevenage.|OK, any date or time preferences?
Friday, and after 20:00.|TTR7278 leaves at 17:54 and arrives at 18:43, cost is 12.80 pounds per person, would you like me to book you?
Yes please, that would be wonderful. I would like a booking for 4 people, and the reference number, please.|I was able to book you for 4 tickets on train TR7278.   The total fee is 51.2 GBP payable at the station.
Could I get the reference number?|The reference number is M8CQ8Y16.
Thanks, that's all I needed today. You've been a great help. Goodbye!|Thanks for using our service. Have a great day. Goodbye.
I am going out of town from Cambridge on tuesday and need to take a train, can you help me?|Absolutely. Where are you heading to?
I am going to ely|Ok, did you have a certain time you wanted to leave after or arrive in Ely?
I would like to leave after 19:15 please.|for how many ?
for 2 people, please|Booking was successful,  .Reference number is : G02V81W6. The train ID is TR5511, it leaves at 19:50
I'm also looking for a college in the west. Can you recommend one?|There are 5. 3 are free, and 2 cost 2.50 Pounds to visit. What do you prefer?
How about one of the free ones? Give me the address and phone number.|Churchill College is located on Storey's Way. The phone number is 01223336233. Is there anything else I can do for you today?
No, I think that is everything I can think of.  Thanks for your help!|Thank you enjoy the rest of your day.
Can you help me find information on saint john's college?|Saint John's College is in the Centre of town on Saint John's Street. The entrance fee is 2.50 Pounds. Can I help you with anything else?
Is there an exact address, like a street number? Thanks!|It is on Saint John's Street, though it doesn't have an exact street number. Is there anything else you would like to know?
Yes, I'm also looking for a train that leaves on Friday after 11:15.|Where will you be departing from, and what is your destination?
cambridge is my destination and from leicester|The TR3877 leaves at 12:09 on Friday. Would you like me to book it for you?
Yes, can you book it for 1 person, please?|It has been booked. Your total fee is 37.79 GBP, which is payable at the station. Your reference number is 2X743C2D.
Great.  Thanks for all your help!|You're welcome. Have a good day!
Hey, I was wondering if there are any multiple sports venues on the west side?|Not on the west side, no. There is on multiple sports venue in Cambridge, and it's in the east.
How about a college to visit instead?|We have 5 colleges to visit on the west side. Churchill College is a nice one, and it's free to enter.
Can I have the address and postcode of Churchill College and entrance fee?|Sure thing, the address of Churchill College is Storey's Way, postcode cb30ds.  Is there anything else I can help you with today?
I also need a train on Tuesday departing from Broxbourne.|What time did you want to travel?
Leaving anytime after 17:45 please.|What time would you like to arrive by?
The earlier the better, so whichever train leaves closest to 17:45|The closest train is TR8653, it leaves at 18:32, shall I book you?
what is its arrival time and how long will it take?|The arrival time for TR8653 is 19:32 and the travel time is 60 minutes.
If there isn't anything earlier that is close to 17:45 I will take the train at 18:32.|No, there is not anything earlier than 18:32.  How many tickets do you want to purchase?
Need a train leaving monday to bishops stortford.|I can help with that. I have 10 different trains that can get you there. Did you have a time you need to leave or arrive by?
Yes, I'd like to arrive by 15:15. I'm leaving from Cambridge as well.|There is one leaves at 13:29, arriving at 14:07. Would you like a reservation on that?
Yes, I need the train ID, please.|The ID is TR4861. How many people would you like tickets for?
I only need one ticket, please.|The total will be 10.10 GBP which is payable at the station. Your reference number is 1EJQJWS2. Is there any other help you need?
Yes I am also looking for somewhere cheap to eat in the centre that serves italian food please.|There are three possibilities.  Pizza hut city centre, ask or zizzi cambridge.  Would one of those work?
Pizza Hut City Centre sounds fine.  Could you book a table for 7 people there for me?|Sure, what time are you looking for a reservation at?
It'll be for 10:45.|Ok great and what day would you like the booking to be made for?
The same day as the train which is Monday.|Yes I was able to book that for you and your reference number is YTANICP1.
Awesome! That will be it for tonight. Have a good day. Bye.|Glad to be of help. Good day to you too.
I'm on a tight budget so I need to find a cheap restaurant that serves chinese food|Sure, do you prefer the south part of town or do you want to stay in the centre?
It doesn't matter.|The Rice House is a great cheap Chinese restaurant located in the centre of town.  Would you like me to book you a table there?
Yes. Can you reserve one for 4 people at 16:45 on Sunday?|I'm sorry my reservation system is not working today. Here is their phone number and address. 01223367755 at 88 Mill Road City Centre. Postcode is cb12bd. Enjoy your meal!
Hi. Im looking for a train to ely that leaves after 14:30.|Okay, and where did you want to depart from?
I need it to depart from cambridge.|What day will you travel on?
I will leav on monday.|I have five trains that are available. Is there a specific time that you need to arrive at your destination by?
No, there is not a specific time.  How much will I be out of pocket for this adventure?|4.10 pounds. Do you need anything more?
Also looking for a restaurant by the name of Midsummer House. I need a reservation for 7 people at 10:15 on Monday.|Your booking was successful. The table will be reserved for 15 minutes.
Reference number is : CETUMJKM.  Is there anything else I can assist you with today?
That's it! Thank you for all your help!|May I help you find a hotel or attraction in town?
No thank you, that's all the information I need.|Thanks for using Cambridge TownInfo. Goodbye.
Hello, can you help me find a restaurant for my upcoming trip to Cambridge?|Absolutely! What type of food are you looking for?
I do not care. Just something in the south, moderate range in price.|There are two options that match what you're looking for.  Pizza Hut Cherry Hinton and Restaurant Alimentum, which is modern European cuisine.  Does either sound good?
i want to reserve a table at  Restaurant Alimentum|what day and how many people?
I would need it for 3 people for 17:30 on monday.|I have booked that for you and your reference number is 7HRLWXYB.  Is there anything else I can help with?
Thanks!  I need to travel to Kings Lynn from Cambridge for 3 people.  I need to travel Tuesday night, sometime after 20:00.  I need a reference number please.|I would suggest train TR8387 that leaves at 21:11 with arrival at 21:58.  Would you like me to book this one or do you need a different arrival time?
This is perfect. Please book for 3 people and give me the reference number.|Okay, I've booked 3 tickets for you on TR8387. It will cost 29.4 GBP. Your reference number is VF2TRXD0. Can I do anything else for you today?
No, that sounds about right. Thanks.|Enjoy your visit.
I'd like to find a train that leaves Monday and arrives by 19:00.|Very well. Where are you traveling from, and to where?
I am departing from birmingham new street, going to cambridge.|I have a train that departs at 15:40 and arrives in Cambridge at 18:23. Will that do?
That would work just fine. Could you tell me the price and travel time for that train?|The TR5385 has a travel time of 163 minutes. Would you like me to book you some tickets?
No, I don't want to book today.  Could you just give me the price for that train?  I think that is all I need today.|Sure.  The price of those tickets are 75.10 pounds each.
Great! That's all I need. Thank you for your help.|Thank you for using Cambridge TownInfo Centre. Have a wonderful day!
I need a train that leaves on Sunday for Broxbourne.|I have 19 trains going to broxbourne on Sunday. To help narrow it down, where would you like to depart from and what time?
I want it to leave from cambridge after 09:15.|Let me look up those times for you. One minute.
Not looking to book, can I just get the train ID, price, and travel time? Thanks!|I'm sorry, I'm not finding that fits those criteria. Is there a different time you could leave?
There are no trains going to broxbourne from cambridge on Sunday after 09:15?|No, I'm sorry, it doesn't appear that those trains run on Sundays.  Is there a different day you could travel?  Also, will you leave from Broxbourne or Cambridge?
I need to go TO Broxbourne FROM Cambridge on Sunday, leaving any time after 9:15. Please check again with those details, please.|I'm terribly sorry -- you are correct.  There are trains every hour, at one minute past. There is a 10:01 train on Sunday, for example. Travel time is 60 minutes.
Great. What's the train ID and price?|The TrainID is TR9580 which leaves at 10:01. The price From Cambridge to Broxbourne is 14.32 pounds. Do you need additional information?
Yes, what is the duration of the train ride?|The duration is six minutes. Can I get you a ticket?
No, that's all right.|Let us know if you need anything else.
I am looking for a train going from cambridge to london liverpool street|I have many trains available between Cambridge and Liverpool Street. What day are you looking to travel?
I would like to travel on Tuesday and I would like to arrive by 20:15 please.|I have train TR7299 that leaves at 5:59 and arrives at 7:27.  Would you like to book that?
Do you have a train that arrives closer to 20:15.|Yes,  TR9561 arrives at 19:27.  Would you like to book that train?
Yes, I need 7 tickets.|Will you needing a reference number?
Yes please.  I'm also looking for a hotel in the west.  I need free parking and wifi available.  Thanks so much.|Your train was booked successfully for 7 people. Your reference number is MQRGDBZA. There are many hotels located in the west. Are you looking for something in a certain price range?
A 3 star hotel in the cheap price range|Im sorry I have nothing matching that criteria can we adjust the amenities?
I need to book a train for Friday please.|Great. Where are you headed?
I am going to Cambridge. I would like to arrive in the afternoon, please.|Where are you departing from?
There are two of us departing from kings lynn and we need to arrive by 16:45. Can you book it for 2 people and send me the reference number?|I booked TR5331 for you. Your reference is GPFBA8K5.
Can I also get information on king's college.|Of course. King's College has a free entrance fee and is in the centre of town
What is the address?|adress is Kings Parade
I want to take a train from Stevenage to Cambridge.|What day and time do you want to leave Stevenage?
I would like to leave on Monday and arrive in cambridge by 12:45.|I have 4 trains available.  What time would you like to leave?
Departure time isn't important as long as I can get there by 12:45.|For how many people?
I don't need to purchase tickets today, but can you tell me the train ID and the total travel time to get me there?|TR9062 will take 49 minutes, from 11:54 to 12:43. Do you need anything else?
What is the price of a ticket, please?|The price of TR9062 is 12.80 pounds.
