am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
I don't need anything booked.  I just need to get the arrival time, travel time and price of a train from norwich to cambridge leaving after 21:15.|There are trains arriving at 22:35, 23:35 and 24:35. They are 17.60 pounds and 79 minutes each.
Great, thanks! I'm also looking for a 4 star hotel in the north. Can you please help with that?|There are several that meet your criteria. Is there a price range you are interested in?
I would like to keep it in the moderate range, please.|I see 7 options. They are all guesthouses. Do you have preferences for internet and parking?
I do not have a preference on those things.|Shall I try to start and book you into one?
Please book it and provide the reference number.|How many nights will you be staying?
Please book the hotel for 4 people and 2 nights.  Thank you.|What day will you be arriving?
the same day... monday please.|I apologize, some of our new workers have phobias of the booking system, I booked you at Acorn guest house, the reference number is 04CSEO7Q any other questions?
That's all I need for today.  Thanks for your help!|I'm happy to help, and I hope you enjoy your stay!
I am looking for information about the City Centre North B and B hotel.  Can you help me with that?|Yes! City Centre North B and B is an inexpensively-priced guesthouse in the north of town at 328A Histon Road. Would you like to book a room?
Yes can I book it for 6 people starting on Saturday for 4 nights please?|They weren't able to accommodate those parameters. Would you like to try a shorter stay?
Sure.  Let's try 2 nights.  Thanks. I'll need a reference number, too, please.|The booking for City Centre North B&B has been made, your reference number is 0FAFY5PP.
Great! I also need a train from bishops stortford to cambridge, please.|I can find one for you. Can you tell me what day you would like to travel, please?
The train should arrive by 14:45 and should be on the same day as the hotel booking.|Great, I recommend train TR5108.  It departs at 13:29 and will get you there by 14:07.  Would you like me to book it?
Please book that train for me now.|Certainly! How many tickets would you like?
I need 6 tickets for the same day.|Booking was successful, the total fee is 48.48 GBP payable at the station .
Reference number is : GSTIN0L6.
That's all I need today, thank you.|You're welcome! Lovely day to you.
I need a place to stay in the north please.|There are 13 places to stay in the north. Do you have any other criteria?
I don't want to have to pay for parking.|I have 5 different gueshouses listed. For what day and for how many please?
For 3 people starting on Wednesday and staying 2 nights.|There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating?
Just a guesthouse in the north with free parking. I'll need a reference number then too please.|I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?
That's all I need today. Thanks! Bye!|Thank you for using our system!
Hi I am looking for a train to arrive in Cambridge by 08:15.|Certainly, where will you be departing from?
I'll be leaving from Bishops Stortford on Monday.|It look like the TR0532 is what you are looking for departing Bishops Stortford at 7:29 and arriving in Cambridge at 8:07. Would you like to book?
What is the price for that trip?|The fare is 10.10 GBP per ticket.
I need to make a booking for 2 people and can you find me a place to stay in the north?|I've booked your tickets for the 7:29 train from Bishops Stortford, reference ZHT6R80S. Can you give me more information about the type of hotel you'd like?
I need a cheap hotel with free parking.|There are 10 total hotels, do you have a preference for area?
I would prefer the hotel be in the north part of town.|City centre north b and b and Worth house are both guesthouses and located in the north. Would you like me to book one for you?
I don't need to book today, thanks. Can you get me the postcode of one of them? Oh, and please make sure the one you choose has internet!|The postcode for Worth House is cb41da and yes, it has internet!
I will go ahead an book at the Worth House.|OK, great. will it be the same two people as on the train and starting on Monday? or do you have different needs for lodging?
Nope, same people.|I'd be happy to book that for you, what day will you be arriving on, and for how many nights?
1 person 5 nights please|Could you clarify if you need the reservation for 1 or 2 people please?
I need reservations for 2.|Okay let me see if I can book that for you.
Actually, I'm all set. Thank you! Bye!|Okay you sure you will not require a booking?
Hi, can you give me some information on places to stay for my upcoming trip?|Certainly, we have many fine guest houses and hotels in Cambridge. Is there anything specific you were looking for, to help narrow it down?
I'm looking for a 2 star hotel with free wifi.|Thanks for that information. What area are you looking to stay in?
The area doesn't matter I would like an expensive hotel if you can find one.|The express by holiday inn cambridge is located in the east and meet your criteria.  Shall I book you a room?
Yes, please book me a room for friday.|For how many people?
I need it for 2 people please.|And how many nights?
5 nights please. And I would need the reference number also.|Your room at the Express by Holiday Inn Cambridge is all set up for Friday. The reference is 7F6ZIHSZ. Is there anything else I can help you with today?
Thank you! I am also looking for a place to go in town. I'm thinking a college in the centre.|Christ's College is located in the centre at saint andrew's street.
Can I please get their phone number and postcode?|Their phone number is 01223334900. The postcode is cb23bu.
Thanks! I'm going to hanging out at the college late tonight, could you get me a taxi back to the hotel at 2:45?|Okay I've got a white Honda booked for you to pick you up at 2:45 and take you back to your hotel, their number is 07078899267
Thank you. That is all I need.|I hope you enjoy your time in Cambridge!
Please find me an expensive place to dine on the South side of town|Sure, we have Chinese, Indian, Italian or Mexican that you could choose from.
How about chinese.|Okay, how about the good luck chinese food takeaway?  Will that work for you?
Yes, that sounds good! Book a table for 3 at 13:45 please.|I'll be happy to help you with that. What day would you like the reservation for?
I'd like to make it for Wednesday. Can you include the reference number?|Your reservation is all set for Wednesday. Your reference number is 68X7U9IG. Is there anything else I can help you with?
I need a hotel in the same price range as the restaurant that has free parking and free wifi for the same group for 3 nights starting from the same day.|Ok and for how many days ?
how about 1 nights.|There are 5 results matching your requirements. What area of town would you like?
The area does not matter. Just the criteria I stated. It will be starting Wednesday.|How about the University Arms Hotel? It has free parking and wifi, and it's a 4 star rated hotel.
If you can book it for my group, I need it for 3 nights starting on Wednesday.|Yes I will book it for you and get a reference number ?
Hi, I am currently planning to come to Cambridge, and I was looking for a relatively inexpensive place to eat in the centre.  What would you suggest?|The Gardenia is an excellent and cheap place in the center of town, serving Mediterranean cuisine. Would you like a table there?
Yes, please book a table for 1 people at 19:15 on monday.|Booking was successful. The table will be reserved for 15 minutes. Reference number is : IU63HAEN. Is there anything else I can help you with today?
Yes. I need a place to stay in the same part of town. It must have free parking.|We have two guesthouses and two hotels that meet your needs. The guesthouses are cheap, and the hotels are expensive. Do you have a preference?
I want a place with a 0 star rating|I have one result. It is el shaddai, which is a cheap guesthouse. Do you want to book it?
Yes, can you book the room for me?|Yes I can but I need to know when your stay is how many people and for the number of rooms.
Do you have their phone numbers?|El Shaddai's phone number is 01223327978. Did you want to book a room?
No thank you that was all I needed today.|Have a great day. If you need anything else just contact us again.
I am looking for a restaurant that sell seafood,will prefer one in the center of the city.|I'm sorry, there seems to be an error. Can you please restate your request?
I would like a train into Cambridge from Stevenage.|Is there a specific day and time you would like to travel at?
Yes, I'd like to travel on Wednesday. I'll need to arrive by 8:00.|The TR9448 arrives at 06:43. Would you like me to book a ticket for you?
Yes, please book 7 seats.|All set. You are booked for 7 people on TR9448. You reference number is B1Q6DDTE. Can I help with anything else?
Yes, I need a hotel as well.|ok for how many people and when are you planning your stay?
Whoa whoa, easy there tiger, Lets narrow the search down first.  In the center, 0 stars, cheap and it can be a hotel or guesthouse.|How about el shaddai? Fits your request perfectly.
Is El Shaddai a guest house or hotel?|El Shaddai is a guesthouse. Anything other questions about them?
Do they have parking?|Yes, they have free parking. Would you like me to book you a room?
No, I don't need to. I was just curious about it. Thank you for all of your help.|Okay, is there anything else I can help you with?
Yes I need a chinese restaurant.|ok what location?
It should be in the same area?|i only have one option can i book it for you?
No, I don't need a chinese restaurant after all. Thanks for looking.|OK. Is there anything else I can help you with today?
No. That's everything I needed and then some, actually! Thanks, take care!|Thank you for calling.  Have a great day!
Can you tell me the address to the police station in Cambridge?|The address is Parkside, Cambridge, postcode CB11JG
Thanks. Would you be able to help me find a place to stay in the east side of town?|What price range do you prefer?
That doesn't matter. I would like a 4 star hotel though, please.|Would a and b guest house work for you?
Does that place have free wifi?|Yes it has wifi. Would you like to know anything more?
That is sufficient, please book me for 8 people, 5 nights staring on friday.|You've been booked at A and B Guesthouse. Your reference number is I23Q30PH. Can I be of further assistance today?
Also looking for a train leaving Norwich after 14:00 and arriving in Cambridge on Friday.|The TR4828 leaves Norwich at 14:16 and arrives in Cambridge at 15:35 on Friday. The price is 17.60 pounds. Would you like me to book it for you?
Can you please give me the travel time.|The travel time is 79 minutes. Would you like me to book it?
no I don't need you to do that, thank you|Okay, will that be all today or is there anything else I can help you with?
That is all. Thank you!|You're welcome. Have a great day!
I'm looking for a place to stay in the north part of town.|How about arbury lodge guesthouse? Moderate price range, 4 stars. Free parking and wifi.
That sounds like a great place to stay. Thank you for your help!|Is there anything else I can help you with?
Yeah, could you book me a room for 2 people for 4 nights starting Tuesday?|Your reference number is 91WNH1R1. For the arbury lodge guesthouse, starting tuesday for 2 nights, and 4 guests. Can I assist with anything else?
I am also looking to visit a museum, it would need to be in the west.|There are 7 museums in the west. Some have entrance fees and others do not. Do you have a preference?
I have no preference, I just need to know how much the entrance fee is.|Cambridge and County folk museum has an entrance fee of 3.50 pounds. All the other museums are free. Is there anything else?
That's all I needed for today! Thanks a bunch! Bye!!|Goodbye, have a great day
I'm looking for a place to stay that has a star of 4 and free parking.|I have located the Acorn Guest house in the North Area. It has a 4 star rating and free parking. Would you like to to book a room?
No, sorry. I'm looking for a hotel in the centre, not north.|I have a guest house that is in the cheap price range and a hotel in the expensive. Would you like to book at one of them?
what is the address and price range|The University Arms Hotel is in the centre and is in the expensive price range. Would you like me to book a room?
No, but I do need the address and postcode.|Certainly, the address is regent street and the can be reached at 01223351241, can I assist with anything else?
I'm also looking for a college in the same area.|I have 13 colleges in that area.   Would you prefer one with an entrance fee or without?
How about one with free entrance. May I have their address and postcode, please?|Downing College is a real sleeper and they have no entrance fee. Their address is on Regent Street, postcode cb21dq. Need any other help today?
No that will be everything, thank you!|You're welcome. Have a wonderful day. Good bye.
Can you help me find a restaurant? I want to find a place in the centre.|Sure! There are plenty of restaurants in the centre to choose from. What type of food do you prefer?
I'd like to find a vegetarian restaurant, if possible.|I'm afraid there's none of those in the centre.  Would you like to try and different area of town?
What about a restaurant that serves asian oriental food in the centre instead?|There are a few options in the centre ranging from cheap to expensive. Do you have a price range you would prefer?
no not really. why don't you pick one a reserve a table for 4 at 19:15 on wednesday please|Your booking was successful. Your reference number is SB1NTSYB. Is there anything else I can do for you?
I'll need a ride there. Can you arrange a taxi for me?|Where will you be departing from?
Departing from the hotel and arriving at the restaurant by 19:15.|First we need to book you a hotel or guesthouse. Do you have any preferences for location or price?
I want kirkwood house- I don't need a booking, just the postcode.|The postcode is cb41da. How else may I help you?
Now I need a taxi.|I have booked a taxi from kirkwood house to the dojo noodle bar for you. A white honda will pick you up. The contact number is 07516276037. Is there anything else I can help you with?
Will the taxi arrive to the restaurant by the booked time?|yes, it will arrive by 19:15
that will be okay for now thanks|You're welcome! I hope you have a wonderful trip!
Thank you. I appreciated your assistance.|And thank you for texting the cambridge towninfo centre. Take care!
I am looking for a particular hotel. Its name is called autumn house|I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
No thanks. Would you book the Autumn House for me starting on Monday, please.|How many people would be staying and how many days will you be staying?
That's for 8 people and it's for 2 nights.|I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
Could you try Wednesday, instead?|Booking was successful.
Reference number is : 3H0WHD4Z.
Thank you goodbye|You're welcome. Thank you for calling and goodbye.
Hello, I am looking for a hotel in the south that is moderately priced.|I can't find any hotels, but I did find a guesthouse called aylesbray lodge guest house with that criteria.
I'd prefer a hotel.  It should have a 4 star rating.  Can you check again, please?|Unfortunately all we have is the aylesbray lodge guest house
Okay, do you have any hotels with a 3 star rating instead?|There's one with 3 stars - Bridge Guest House. It's in the south and is moderately priced, and they have free wifi and parking. Would you like to book a room?
I guess that's fine, book it for 6 people for 2 nights, We'll be there on thursday.|I was able to book your party of 6 into Bridge Guest House for 2 nights starting Thursday! Reference: GAAQJAQQ. Can I help more today?
Yes, I'm also looking for info on Wandlebury Country Park.|Wandlebury Country Park is located at wandlebury ring, gog magog hills, babraham. Is there any other information you need today?
Can you give me their phone number please?|The phone number for Wandlebury Country Park is 01223243830. Do you any further assistance today?
thanks. i want to leave the hotel by 24:45.|Do you mean that you want to book a taxi? If so, what will your destination be?
Yes I do. I want to leave the hotel by 24:45 to go to the park.|Your taxi will be available and has been booked.
Wonderful.  Can you provide me with the contact number?  Also, what kind of car is it?|Of course, sorry about that.  Look for a red Lexus.  The contact number is 07951076280.  Can I be of further assistance today?
Nope, that's it. Thanks!|Very please to have been of assistance today.
I'm looking for a hotel to stay at in the centre, can you look this up for me?|There are three hotels in the center of town. Do you prefer something moderate or expensive?
Not in terms of that, but do they have free parking and have a 3 star rating?|The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details?
Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday.|I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
Yes, what about 2 nights instead of 4?|Sure, that worked.  You have booked 2 nights and your reference number is RU89U6V8.  Can I be of further help today?
No, that looks like everything.  Thanks.  Bye.|You're welcome. Enjoy your stay!
I need a restaurant to dine at in Cambridge on my upcoming trip.|There are lots to choose from. What type of cuisine are you looking for?
I don't care. It needs to be on the south side and moderately priced.|There are 2 options, pizza hut cherry hinton which serves italian and restaurant alimentum which serves modern european.  Can I book you for those?
Yes please.  I also need a hotel with at least 3 stars and free parking.|There is no hotel in south side,do you want me to try different area?
How about a Guesthouse in South side instead?|I'm sorry, there is no guest house that meets those criteria, either. Would you like to try a different rating, or a different area?
Sure, what about in the city centre?|I am not finding a guesthouse that meets your criteria.  Might a hotel work?
Is there not one in the same area as the restaurant?|There are 2, the Alexander Bed and Breakfast 4 star or the El Shaddai 0 star.  Both are in the cheap range and in the Centre.
Okay. Can you try booking the El Shaddai for me fo Saturday for 2 people for 3 nights.|The booking was successful.  Your reference number is S8LZAB9P.  Is there anything else I can help with today?
No that would be everything, thank you!|Okay! Glad I could help. Enjoy your stay.
Thank you, I will.|Good bye, thank you.
I'm looking for a hotel called the Leverton house. Can you help me find it?|Sure. It's located at 732-734 Newmarket Road. Can I help you with anything else?
Yes. I would like to book it for four nights, starting Sunday. Five people.|Will you be needed a reference number for the booking?
Yes, please give me the reference number.|Booking was successful! Your reference number is. PIKSVFZT
I am also looking for places to go in town.  Maybe something in the south.|There are several places to go in the south.  Are you interested in cinema, entertainment, musuem, a nightclub, or perhaps something else.
How about a cinema?|Cineworld Cinema is a great place to visit. It's located on the south side at cambridge leisure park, clifton way. Is there anything else i can help you with?
Does it have an entrance fee?|That information is not available to me. The phone number is 00872208000.
Okay I also need a taxi that will leave the attraction by 08:45.|The car will be a yellow toyota and their number is 07865026456, is there anything else you need?
No, I think that will be all. Thank you for your help!|Thanks and enjoy your time !
Thank you very much.|You're welcome. Have a great day!
Hello, I am looking for a four star hotel on the north side|I have eight results. Do you need free parking?
Not really, and I'm not really concerned with wifi either. Which one do you recommend?|How about Acorn Guest House? It's located at 154 Chesterton Road.
What is the hotel's rating?|It is rated 4 stars,
Actually, could you double check whether the Acorn has free wifi?|Yes, it does. Would you like me to make a reservation for you?
Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights.|Yes, it does.
OK, can you please pay attention to my questions? I need a room, please.|Sorry about that! You are booked at the Acorn for 4 nights, starting Thursday ref #ZUC5SZAP. Can I be of any further assistance today?
No that will be all. Thanks!|Let us know if you need anything else.Cheers.
Could you help me find the Cambridge Belfry?|The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
Thank you. Can you book it for me?|Of course. When would you like to stay?
I would like to check in on Saturday for 2 nights.  There will be 4 of us.|Your reservation was successfully made. The reference number is PJ9D98BY. Can I help you with anything else?
Nope, that's all I needed. Thank you.|Thank you, if you need anything else let me know.Good Bye.
I'm looking for an expensive restaurant in the center of town.|Would you be interested in The Cambridge Chop House? It is a british cuisine restaurant located in the centre of town.
thank you, I hope its in the expensive price range. and if you could give me the phone number that would be great|Yes, it's expensive. Phone number is 01223359506.
I need to book a table for 1 person at 16:45 on friday.|That booking is unsuccessful. Does another time/day work?
Yes. How about 15:45 on Friday instead?|Booking was successful. The table will be reserved for 15 minutes.
Reference number is : 10P0LEVH.. Anything else today?
I'm also looking for a place to stay. Ideally a hotel with free wifi and parking that is also expensive.|If you're looking to stay in the town centre area, there is the gonville hotel. It has free parking and internet and is rated 3 stars. Would you like to book?
Great can you book it for one person, for 4 nights starting friday?|Your booking was successful starting Friday for four nights.  Your reference number is DRW9QM8S.  Can I help you with anything else?
I also need to book a taxi to commute between the two.  I'd like to arrive prior to the 15:45 time.|Your booking is complete, a grey bmw will be picking you up, the contact number is 07034136573. Can I assist you with anything further today?
No, thanks for your help.|You are welcome, goodbye!
I am looking for an attraction called King's College.|Ah yes, King's College is in centre of town. The address is King's Parace and phone 01223331100.
Thank you very much.  Can you give me the postcode?|The postcode is cb21st.
I also need a place to stay.|I can help you with that. Would you like a guesthouse or hotel?
I would like a hotel with 4-stars.  Also, an expensive one.|There is one hotel matching your criteria. It is University Arms Hotel, it is expensive with a four star rating and both free internet and parking. Do you need more information?
No that will be all the info I need thank you.|Okay! Have a great trip! Bye!
I'm looking for information on Saint John's College.|Yes St John's college is located at 	saint john's street and their telephone number is 01223338600. It costs 2.50 pounds to enter. Anything else?
Can you tell me what area it is located in?|Yes St John's is located in the city center.
I need the address and entrance fee as well. Also can you help me find a hotel with free parking in the moderate price range?|The address for St.Johns is St.John's St.,postcode cb21tp. There is an entrance fee of 2.50P. You have 14 choices of hotels, is there a specific area you prefer?
I'm not concerned about the area, but I'd like it to include free parking and wifi and have a 3 star rating please.|Bridge Guest House meets those criteria. It is located in the south. Would you like for me to book it for you?
That won't be necessary. I just need the address.|The address is 151 Hills Road. Anything else I can do for you?
I'd like to book a taxi between Saint John's College and the hotel, leaving the hotel at 4:15.|Okay, I've booked a taxi for you at 4:15pm at the Bridge Guest House.  It will be a black Volkswagen. The number is 07240037071. Anything else I can help with?
That's literally every thing I needed today. You've been amazing, thank you so much!|Have a safe trip!
I be traveling to Cambridge and can't wait to try the restaurants, but could you help me with a finding a hotel?|Would you prefer a guesthouse? The acorn guest house is in the north and moderately priced. 4 starts with free internet and parking
I would prefer a hotel type hotel, it just needs to be in the moderate price range and doesn't need to have free parking, but needs wifi|Sure! I found ashley hotel. It is located at 74 chesterton road. Would that work for you?
Yes, that sounds like a good place.  I appreciate the information.|You're welcome. Would you like a room, or perhaps I could help you with something else?
Yes, can you tell me the star rating of that hotel?|It has 2 stars.
Thanks, I also need a restaurant in the Centre that serves European food. It needs to be in the same price range as hotel.|How about the Galleria?
Sounds good. I would like to make a reservation for Friday at 17:15 for 4 people.|Okay I was able to make you a reservation and your reference number is DWMSURSO.
Could you also book me a taxi that arrives at the restaurant by the time of my reservation?|Where will you be departing from?
From the hotel.  I would like to get a contact number for the taxi also, just in case something changes.|I was able to book that taxi for you. Their contact number is 07236475648. That will be a yellow honda. Can I assist you with anything else today?
No that will be all thank you goodbye|Thank you for using our system today!
Hello, I'm planning a trip to Cambridge and I'm looking for a place to dine. It should be moderately priced and located in the centre.|We have 21 restaurants to choose from. Is there a certain food type that interests you?
I don't really care what type of food it is. Any of them will do.|We have a wonderful Asian restaurant, called Yippee Noodle Bar, would you like to try there?
Sure, I'll try it. Can I get their phone number and post code?|Of course, their phone number is 01223518111 and the post code is cb11lh.  I can make a reservation for you if you'd like, or help with something else.
Great I also need a place to stay that is a guesthouse that includes free parking.|Excellent. Do you have an idea on the location?
Any location is fine, but I would prefer something that is in the expensive price range.|I'm sorry, but we don't have any expensive guesthouses. All the expensive properties are hotels.
Okay, I guess it'll save me some dough if I try for a place that's more moderately priced.|There are a total of 12 guesthouses  that are moderately priced in town. Are you sure there isn't a particular section you would like to stay in?
Any of them will do. Pick your favorite and let me know what area they're in, and their postcode and how many stars they have?|Acorn Guest House is located in the north at 154 Chesterton Road. It is moderately priced and has four stars. The post code is 	cb41da.
Thank you. That is all I need today.|Your very welcome! Enjoy your stay!
I am looking for a hotel call arbury lodge guesthouse.|Arbury Lodge Guesthouse is located at 82 Arbury Road in the north side of Cambridge. Do you need more information or would you like to book a room?
I would like to book it for 4 nights for 4 people please.|Will you be needing a reference number?
Yes please, a reference number would be great!|Okay, I can help you with that. What day do you plan to check in?
i want to check in on tuesday|Your booking was successful. Reference number is : OE6IHAT2. Is there anything else I can assist you with today?
Yes, i am looking for colleges to visit on the west side of town.|There are five. Three that are free, and two that have an entrance fee.
Get me a phone number for one that is close to the hotel and is free.|Well then should I search for a college in the north instead, if you want it close to your hotel?
Make sure you get contact number and i'll be there as soon thank you|I'm sorry for the confusion, which college do you want a contact number for?
that's okay, give me the number for the college closest to the hotel and is free, may I know the address as well?|There are not any colleges located in the north actually.
none in the west, I talked so someone earlier|None in the north 5 in the west, I personally recommend churchill college entrance is free, any further questions?
Could you give me the address and phone number?|Their address is storey's way	and their phone is 01223336233. Is there anything else I can do for you today?
I also want to book a taxi to commute between the two places.|Which will be your departure site? What time do you want to leave or to arrive?
I will need to be picked up at the hotel by 4:45 to arrive at the college on tuesday.|All set, the car is a white volvo, Contact number is 07321652724, any other questions?
No I believe we got everything covered today.Thanks. Goodbye.|Happy to help. Please let us know if you need anything else.
Are there any trains leaving from Stansted Airport on Thursday?|I have 19 trains available.  Could you narrow it down to a specific destination and departure time please.
i am leaving for cambridge and it should arrive there by 20.45|The train that arrives the closest to your preferred time is TR2286 which arrives at 19:52. Does that work for you?
I would like to make a booking for TR2286 for 1 person.|Ok, I've booked you 1 ticket on TR2286.  The fee of 10.10 GBP is payable at the station.  Your reference code is QHKC3MOF.  Anything else I can do?
Thank you I also need a place to stay that is a guesthouse with free parking.|I have several results matching your request.  What price range and area of town would you prefer?
I don't have a preference for area, I would just like it to have 4 stars and a moderate cost with free parking.|There are 9 options for a guesthouse with your requested price and amenities. The Aylesbray Lodge Guest House is lovely this time of year, if you're interested?
That works. What's the phone number, area, and if they have internet?|aylesbray lodge guest house is in the south of town, their phone number is 01223240089 and they have internet
Could you book it for me?|I'd be happy to. When would you like to begin your stay, and for how many nights would you like rooms reserved?
I just need it for one night for one person please.  Can you tell me which area it is in?|It is in the south area.
Thank you very much, I think that's all I needed.|You are welcome. Have a good day!
I need a place to stay in South of town.|Okay, do you have any price range you're looking for?
It doesn't matter on the pricing or about having free parking. I would like the hotel to be like a guesthouse.|Aylesbray lodge guest house fits your needs. Would you like me to book that for you?
That won't be necessary thanks.|Is there anything else I can help you with?
Yes actually, could you book that for me? I've changed my mind.|That's fine. I'm here to help. For how many people and how many nights will that be?
The stay is for 4 of us for 3 nights.|What day would you like that reservation?
Friday, please, and for 3 nights. Thank you!|Booking was successful. Your reference number is PYDLXTII. Can I help you with anything else?
I am also looking for a train on the same day as my hotel booking that goes to cambridge that arrives by 20:00 and departs from stevenage.|OK, any date or time preferences?
Friday, and after 20:00.|TTR7278 leaves at 17:54 and arrives at 18:43, cost is 12.80 pounds per person, would you like me to book you?
Yes please, that would be wonderful. I would like a booking for 4 people, and the reference number, please.|I was able to book you for 4 tickets on train TR7278.   The total fee is 51.2 GBP payable at the station.
Could I get the reference number?|The reference number is M8CQ8Y16.
Thanks, that's all I needed today. You've been a great help. Goodbye!|Thanks for using our service. Have a great day. Goodbye.
Yes, I'm looking to stay at a guesthouse while I'm in town. I don't need internet access, so don't worry about that.|The alpha-milton guest house is in the north and moderately priced. Would you like to book a stay?
I need something cheaply priced.|We have 9 guesthouses that match your search. Would you like to narrow it down?
I don't care as long as it's a guesthouse located in the north for cheap.|May i suggest the Worth House? It is a cheap, 4 star hotel in northern Cambridge.
That's fine. Can I book it on monday for 4 nights for 7 people?|I'm sorry. It looks like the guesthouse can't be booked for your stay. There's a 0 star guesthouse also in the north. Would you like me to look there?
Can you try booking again for 3 nights instead of 4?|Your booking for 3 nights was a success! Your reference number is KLPEPNED. Is there anything else I can help you with?
Thank you. Are there any cheap restaurants near the hotel as well?|Just to clarify, are you looking for a cheap restaurant in the north area of town?
Yes. This restaurant should serve swiss food too.|I'm sorry, there are no Swiss restaurants in the north side of town. Is there a different food choice you would like to try?
I see. Hmm. What about Indian?|How about the Royal Spice, it's a cheap Indian place in the north part of town.
Thank you, please provide the address and the postcode.|No problem, address is Victoria Avenue Chesterton, postcode cb41eh.
Thank you.  I would also like to book a taxi to get from the guesthouse to the restaurant.  I would like to arrive by 17:30.|Ok, I've booked your taxi from Worth House to Royal Spice. You will arrive by 17:30. Anything else I can do for you?
Yes I would like a contact number and car type please for my booking.|Sure expect a grey Volkswagen to pick you up and the contact number is 07554509101. Is there anything else I can help you with today?
What is the maximum passenger accommodation of the Volkswagen?  There will be 7 of us going to dinner.|The model of the car was not given, so I am not sure, your best bet is to call the taxi company to make sure the vehicle can fit 7 passengers.
Sounds like a plan. Thank you for all of the help!|You are welcome! Enjoy your time here.
I'm looking for a guesthouse in the centre of town. Can you find one for me?|El Shaddai is located at 41 Warkworth Street. They offer free internet and parking.
How many stars does El Shaddai have, I'm looking for a place that is at least a 3 star location?|El shaddai has 0, but alexander bed and breakfast has a 4 star rating.
It's really important to me to have 3 stars, no more, no less. Are there any hotels that match that description?|The Gonville Hotel is a hotel, not a guest house, but it has 3 stars and is in the city centre. Will that work for you?
That will work. Can you make a reservation for 8 people, please?|Yes, what dates would you like me to reserve that for?
Starting Sunday and for 3 nights please.|How many people will be staying at the hotel?
For 8 people please. Can I also get the reference number?|Yes I am happy to say I was able to book that hotel for you. The reference number is KVV2ZTNK.
